1780	dup	NO_REPLY+messaging tool成功时mirror处理 — reply semantics
1781	dup	async exec-event replies走persisted delivery context — delivery context
1782	dup	cancel完成瞬间新session/prompt不误认为新会话 — cancel barrier
1783	dup	strip [[reply_to_current]]等directive tags — directive strip
1784	dup	per-session verbose off+hide tool cards — display prefs
1785	dup	optimistic image messages不嵌large inline data — attachment hygiene
1786	boundary	Crush web search(DuckDuckGo)
1787	variant	x-session-affinity/x-session-id请求头
1788	dup	concurrent named task control+context切换 — task control
1789	boundary	Workflow inspect/cancel/pause/resume/retry daemon API
1790	dup	导出markdown保留<file>标签渲染 — export fidelity
1791	dup	proxied streams保留serializable subset — stream proxy
1792	dup	session.prompt()等retry完成(agent_end同步建promise) — retry sync
1793	dup	loopback dev allowance绑real socket clients非Host claims — origin check已实装
1794	dup	restart continuations进session-delivery queue再删 — restart handoff
1795	dup	首消息命名session标题+default/per-agent工具 — session naming
1796	boundary	host可禁用embedded CLI history cleanup
1797	dup	image data BlobStore去重+仅最近N轮保留 — attachment dedup
1798	variant	session owners可publish公开transcripts
1799	dup	移除ambient process.cwd() fallback — path hygiene
1800	dup	/clear改名/new+hook reason更名 — command rename
1801	dup	final assistant message反向搜索lookup — result lookup
1802	boundary	warelay safety stop words(stop/esc/abort/wait/exit)
1803	dup	ACP bridge duplicate-session refresh+idle reaping — session hygiene
1804	dup	session fork更多参数组合(--resume源指定) — fork params
1805	dup	SDK resume用hasPrompt信号优化history replay — resume control
1806	boundary	SessionManager API sessionDir参数化
1807	cand	hook-forms: before_branch返回skipConversationRestore
1808	dup	/status走shared session-status command — status command
1809	boundary	session page Detailed View按钮
1810	boundary	Staged/Unstaged multibuffers
1811	dup	/stats usage指标命令 — usage command
1812	dup	stale connection显示session occupied修复 — connection hygiene
1813	dup	refresh后duplicate thumbnails等修复 — UI fixes
1814	dup	safety review终止时保留已产生内容 — safety output
1815	cand	policy-inline: chat内联grant/deny session network policy
1816	dup	serve --session-id持久history — serve persistence
1817	variant	acp --model/DEVIN_MODEL设ACP server默认model
