51309	noise	custom headers internal
51313	noise	Gemini schema compat internal
51318	noise	MCP status display internal
51322	noise	MCP monitoring internal
51341	noise	mcp corrupting session internal
51385	dup	subdirectory snapshots right files — 快照范围已有
51399	boundary	titlebar tabs scroll — their UI
51413	noise	Google tool ID regression internal
51427	noise	worktree POST body internal
51428	dup	interrupted assistant after cancel — 取消语义已有
51471	noise	plugins reinstall internal
51489	boundary	subagents clickable — their UI
51508	noise	project switch flicker internal
51564	dup	child session permissions/questions — 子会话路由已有
51580	noise	sidecar window internal
51584	noise	nested exports internal
51704	noise	Zen mode disconnect internal
51909	noise	import regex internal
51998	boundary	prompt history nav — their UI
52008	noise	LSP unzip windows internal
52011	noise	path separator internal
52017	noise	unshare state internal
52072	dup	unignore .ignore — ignore 语义已有
52098	noise	autocomplete space internal
52120	dup	@file refs with subagents — 引用透传已有
52122	boundary	revert dialog prompt — their UI
52131	noise	LSP MethodNotFound internal
52136	noise	undo breaking commands internal
52139	noise	fuzzy ranking internal
52143	noise	permissions ESC internal
52146	noise	/undo internal
52150	noise	keybinds display internal
52168	noise	$ invocation LSP internal
52187	noise	type exports internal
52224	noise	tool call casing internal
52286	noise	undo nested folders internal
52318	noise	escape retry internal
52329	noise	double system prompt internal
52336	noise	broken attachments internal
52356	noise	share page v1 internal
52357	noise	suppress snapshots big dirs internal
52361	noise	init command internal
52362	noise	share timestamps internal
52377	noise	interrupt internal
52380	noise	/unshare internal
52389	dup	filewatcher close cleanly — 资源回收已有
52391	noise	lsp diagnostic internal
52422	dup	LSP init timeout skip failed — 容错已有
52446	noise	acp-next prompts internal
52455	dup	preserve permission rule order — 规则序已有
52458	dup	permission replies remote workspace — 路由已有
52478	dup	permission after skill invocation — skill 批准已有
52511	dup	permission field matching — 规则匹配已有
52512	dup	rule-based not wildcard — 同上
52536	noise	permission TUI internal
52550	dup	external directory wildcarding — 目录权限已有
52551	dup	external_directory/doom_loop checks — 检查已有
52554	noise	keybind display internal
52555	dup	bash permission pattern matching — 模式匹配已有
52562	dup	plan mode bash no changes — plan 强制已有
52906	boundary	sub-agent rows v2 — their UI
52910	dup	delegated tasks reasoning variant — 变体传播已有
52914	boundary	subagent titles — their UI
52926	dup	subagent reasoningEffort applied — 推理档传播已有
52935	noise	subagent nav order internal
52942	boundary	subagent type display — their UI
52963	noise	session ID header internal
52967	noise	plugin ask internal
52974	noise	dynamic imports Windows internal
