580	dup	ACP session创建时推command list — protocol
581	boundary	codex cloud exec --branch+status/diff/apply
582	boundary	Discord proxy/reactions/model picker
583	cand	remote-mcp: remote HTTP transport type
584	boundary	memory-lancedb cloud storage(向量)
585	variant	skill scripts声明产出文件/远程资源
586	boundary	Telescope式resizable pickers(editor)
587	boundary	drag-drop上传到remote projects
588	variant	sandbox.excluded allow/ask/deny(sandbox外运行清单)
589	boundary	E2E/QA Crabbox覆盖
590	cand	worktree: --worktree//worktree隔离checkout
591	dup	Active Memory bounded同agent private recall — memory
592	dup	hermes profile create/list/switch/delete — instance roots已实装
593	boundary	sandbox.docker.gpus passthrough
594	variant	sandbox.scope agent vs session隔离粒度
595	dup	browser URL+LLM响应密钥模式扫描 — secrets egress已实装
596	variant	schedules居~/.cline/schedules(同408) — instance域对照
597	dup	malformed auth/cron/session条目忽略不hydrate — torn store
598	dup	cron.skipMissedJobs+blockedHostnames — config knobs
599	dup	cron per-run model/provider telemetry — schedule telemetry
600	dup	migrated cron jobs保留恢复 — schedule migration
601	dup	session history按来源(Desktop/CLI/ext/scheduled)过滤 — session origin
602	dup	warelay IPC复用running relay — channel relay
603	dup	scheduled runs路由configured model+session group — schedule routing
604	boundary	ntfy第23消息平台
605	boundary	/acp spawn --bind Discord/BlueBubbles/iMessage
606	dup	--fork <path|id> CLI — session fork exists
607	dup	session forking+edit earlier prompt API — rewind/edit exists
608	dup	browser SSRF默认policy hostname导航+strict mode — G4
609	boundary	Codex CLI fallback resume JSONL — external provider
610	dup	chat session picker agent-first过滤 — session picker
611	boundary	Feishu replyInThread路由
612	dup	gateway send透传agentId — provenance
613	variant	# trigger task history fuzzy autocomplete
614	variant	experimental.sessionWorkflow Plan&Review
615	boundary	/cloud-attach cloud Devin session
616	dup	--enable-session-tracking非交互 — session tracking
617	dup	image/video generation session attribution headers — provenance
618	dup	session命名idle后+大列表切换 — session UX
619	dup	tool summary streaming+steering queue — steer/queue
620	dup	web UI新会话+fork修复 — session ops
621	noise	NewThread在terminal聚焦时误触发修复
622	variant	CODEBUDDY_CODE_DISABLE_BACKGROUND_TASKS host开关
623	noise	canvas terminal刷新后reconnect修复
624	boundary	canvas terminal standalone browser
625	dup	SDK tool-result/provider-message budgeting截断 — C2同源
626	dup	stdin-stream images字段 — protocol input
627	boundary	本地web dashboard
628	boundary	PTY SSE/HTTP端点
629	noise	产品改名Devin for Terminal→Devin CLI
630	dup	child sessions+structured output schemas+playbooks — delegate+playbooks
631	dup	Web UI /clear时CLI视图同步 — session sync
632	noise	Windows Terminal truecolor修复
633	boundary	PyPI包发布
634	dup	/skill /workflow不再dump body进消息 — dispatch hygiene
635	boundary	SDK MCP Server类型
636	boundary	Mem0 external-context extension skeleton
637	boundary	openclaw agents bind/unbind路由CLI
638	variant	browser profile="user"/"chrome-relay"内置profile
639	dup	built-in plugins不列"Not loaded" — plugin listing
640	dup	malformed numeric options拒绝 — validation
641	dup	channel plugin ingress monitors durable admission — monitor infra
642	boundary	Synology Chat channel plugin
