1580	dup	/prompts /prompt /compact命令 — command surface
1581	dup	auto pre-compaction时summary与user message错位修复 — compaction
1582	dup	A2A contextId分组保持 — session continuity
1583	dup	fetch tool读网页进context+max size缩减 — web fetch
1584	boundary	BYOK 1M context/git panel改进
1585	variant	Token counter显示开关
1586	dup	Typed Memory默认启用(同1101) — typed memory
1587	noise	app-server docs更新
1588	boundary	Cline API provider
1589	dup	custom API request timeout可配 — timeout config
1590	cand	proxy: OpenAI-compatible可设Host header+legacy API
1591	boundary	Cloudflare AI Gateway provider
1592	boundary	Cloudflare Workers AI provider
1593	boundary	OpenCode Go provider
1594	dup	local Gemini CLI auth访问模型 — auth reuse
1595	boundary	Baseten provider
1596	dup	models-store.json动态catalog+Radius gateway — catalog
1597	boundary	assistant panel Claude
1598	dup	qwen review cost-ledger聚合usage — cost ledger
1599	variant	SSE rate-limit retryInitialDelayMs/retryMaxDelayMs
1600	boundary	qwen review publish-assets
1601	dup	sessions_spawn bare model alias解析 — delegate model
1602	dup	per-call timeoutMs(image/video/music/TTS) — tool timeout
1603	dup	pre-prompt context diagnostics — diagnostics
1604	dup	models.json只覆baseUrl走proxy保留其余 — proxy override
1605	boundary	openclaw infer hub
1606	dup	Provider Index preview rows冷fallback — catalog fallback
1607	variant	chat-template thinking映射(chat_template.jinja)
1608	boundary	Cline Pass provider picker
1609	dup	doctor窄修profiled tool-section — config doctor
1610	dup	flat-rate订阅不显示cost估计 — cost display
1611	dup	custom model 401不再触发自动logout — auth hygiene
1612	dup	Copilot multi-turn重答旧prompts修复 — transport
1613	dup	provider-executed tool activity不再整丢 — tool reporting
1614	noise	GPT-5.1-Codex-Max发布
1615	boundary	GPT-6 Astra async tools/steering
1616	dup	/v1/chat/completions response_format透传 — API compat
1617	dup	SSE assistant chunk先发 — stream start
1618	noise	gemini-3.1-flash-lite
1619	dup	image requests走shared provider HTTP transport — media transport
1620	dup	explicit image-model配置优先于native-vision skip — media config
1621	dup	inbound media understanding(image/audio/video)+fallbacks — media understanding
1622	noise	Opus5/Kimi K3/GPT Live realtime
1623	dup	models auth login --provider openai — auth CLI
1624	noise	Kimi-K2-Thinking
1625	noise	GPT-5.2
1626	boundary	vLLM onboarding provider
1627	noise	Codex CLI models官方支持
1628	boundary	Connected accounts个人provider账户
1629	boundary	providerAuthAliases共享env vars
1630	dup	provider账户增删/优先级/清理 — account management
1631	dup	encrypted reasoning支持 — reasoning transport
1632	dup	shared model/media request transport overrides — transport override
1633	boundary	Nous Portal快速setup
1634	noise	4新providers+模型列表刷新
1635	dup	Roo provider启动预热model list — warmup
1636	cand	model-pool: 同provider多API key自动rotation
1637	dup	/login fuzzy搜索filter — picker UX
1638	boundary	signal-cli JSON-RPC provider
1639	boundary	登录卡列free model promotions
1640	dup	reasoning-capable默认thinking level提升 — thinking default
1641	boundary	Together AI provider
1642	boundary	transcript capture+meeting summaries
1643	boundary	AI SDK 7升级/Ollama native provider
1644	dup	voice provider时隐藏tts tool — tool gating
1645	noise	RISC-V image pasting
1646	dup	models.json models按id merge进built-in — config merge
1647	boundary	Agent Teams Web UI
